,Date,Total_Deaths,Longitude,Latitude,Disaster_Subgroup
468,1977,3.0,44.38,38.934,Geophysical
469,1977,1.0,-175.9,-22.878,Geophysical
470,1977,185.0,118.378,-11.164,Geophysical
471,1977,70.0,-67.767,-31.028,Geophysical
472,1977,3.0,56.57,27.69,Geophysical
473,1977,589.0,56.47,30.95,Geophysical
474,1978,25.0,139.259,34.809,Geophysical
475,1978,5.0,15.066,38.391,Geophysical
476,1978,28.0,142.028,38.19,Geophysical
477,1978,50.0,23.229,40.739,Geophysical
479,1978,25000.0,57.434,33.386,Geophysical
480,1978,9.0,-96.591,16.01,Geophysical
481,1978,45.0,49.65,32.14,Geophysical
483,1979,199.0,59.472,33.897,Geophysical
484,1979,13.0,-72.658,-16.39,Geophysical
485,1979,5.0,-101.276,17.813,Geophysical
486,1979,35.0,19.209,42.096,Geophysical
487,1979,121.0,19.209,42.096,Geophysical
489,1979,34.0,115.95,-8.21,Geophysical
490,1979,42.0,119.241,31.452,Geophysical
491,1979,539.0,123.5,8.8,Geophysical
493,1979,2.0,136.04,-1.679,Geophysical
494,1979,9.0,15.004,37.734,Geophysical
496,1979,26.0,108.252,-7.656,Geophysical
497,1979,350.0,59.741,33.918,Geophysical
498,1979,60.0,-76.217,4.805,Geophysical
499,1979,16.0,59.726,33.962,Geophysical
500,1979,579.0,-79.358,1.598,Geophysical
501,1979,5.0,102.712,-3.299,Geophysical
502,1979,32.0,115.889,-8.39,Geophysical
503,1979,5.0,13.061,42.812,Geophysical
504,1979,11.0,7.25,43.7,Geophysical
506,1980,69.0,-27.78,38.815,Geophysical
508,1980,2.0,-115.122,32.2,Geophysical
509,1980,100.0,81.092,29.598,Geophysical
510,1980,8.0,-80.017,-1.948,Geophysical
511,1980,13.0,75.633,32.913,Geophysical
512,1980,2.0,139.964,35.45,Geophysical
513,1980,2633.0,1.354,36.195,Geophysical
514,1980,65.0,-98.24,18.211,Geophysical
515,1980,7.0,-74.545,-13.347,Geophysical
516,1980,4689.0,15.366,40.914,Geophysical
517,1980,20.0,50.652,34.587,Geophysical
518,1980,4.0,50.59,34.503,Geophysical
520,1980,1.0,22.729,39.203,Geophysical
521,1980,26.0,51.26,35.4,Geophysical
522,1981,306.0,139.232,-4.576,Geophysical
523,1981,150.0,101.098,30.927,Geophysical
524,1981,22.0,22.934,38.222,Geophysical
525,1981,2000.0,57.715,29.913,Geophysical
526,1981,10.0,-74.522,-13.166,Geophysical
527,1981,1200.0,57.794,30.013,Geophysical
529,1981,250.0,73.594,35.693,Geophysical
530,1981,10.0,-72.527,8.117,Geophysical
531,1981,3.0,-102.084,18.048,Geophysical
532,1981,2.0,20.699,39.481,Geophysical
534,1981,6.0,66.962,29.856,Geophysical
535,1981,8.0,-74.376,-13.144,Geophysical
536,1981,12.0,14.601,41.051,Geophysical
538,1982,110.0,142.361,42.158,Geophysical
539,1982,10.0,99.931,31.907,Geophysical
540,1982,20.0,-89.387,13.332,Geophysical
542,1982,500.0,69.011,36.148,Geophysical
543,1982,13.0,123.08,-8.405,Geophysical
544,1982,1507.0,44.379,14.701,Geophysical
546,1982,1.0,19.59,40.883,Geophysical
547,1982,9.0,-98.358,16.558,Geophysical
548,1982,3.0,-76.065,-12.69,Geophysical
550,1982,10.0,-93.21,17.25,Geophysical
551,1983,30.0,52.264,35.953,Geophysical
552,1983,250.0,-76.686,2.461,Geophysical
553,1983,10.0,-83.123,8.717,Geophysical
556,1983,10.0,-78.103,-4.843,Geophysical
557,1983,102.0,139.102,40.462,Geophysical
558,1983,2.0,-83.688,9.652,Geophysical
559,1983,19.0,120.86,18.231,Geophysical
561,1983,4.0,-70.563,-26.535,Geophysical
563,1983,1346.0,42.187,40.33,Geophysical
564,1983,34.0,115.213,35.206,Geophysical
565,1983,2.0,5.31,50.37,Geophysical
566,1983,443.0,-13.529,11.866,Geophysical
567,1983,10.0,151.868,5.392,Geophysical
568,1983,12.0,70.738,36.372,Geophysical
572,1983,12.0,21.54,41.959,Geophysical
573,1983,3.0,49.18,36.948,Geophysical
574,1983,1.0,139.07,35.5,Geophysical
575,1983,2.0,-113.857,44.058,Geophysical
576,1983,2.0,120.858,1.131,Geophysical
578,1984,2.0,118.806,-2.823,Geophysical
580,1984,3.0,12.558,43.26,Geophysical
581,1984,3.0,13.5,42.1,Geophysical
583,1984,20.0,138.1,36.39,Geophysical
584,1984,3.0,42.22,40.89,Geophysical
585,1984,20.0,92.34,24.4,Geophysical
